<sNo, day, restaurantId, UserId, R1, R2, R3>
Number of Hotel =380
Number of User = 642
Number of Days = 164
Number of Ratings = 1000
990, 163, 195, 524, 3, 4, 4
991, 163, 259, 27, 1, 1, 1
992, 163, 288, 287, 1, 1, 1
993, 163, 330, 601, 3, 1, 2
994, 163, 343, 610, 3, 3, 3
995, 163, 343, 422, 2, 2, 2
996, 163, 357, 619, 2, 3, 4
997, 163, 368, 161, 1, 1, 1
998, 164, 9, 38, 2, 1, 1
999, 164, 36, 22, 4, 2, 4
1000, 164, 36, 212, 1, 3, 3
